"","artist","genres","image","popularity","followers","language","circle","new_image_path"
"59","Kahitna","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebe8b3eb71335b453ac794067e",55,986252,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a49fa58b2.png","kahitna.png"
"60","RAN","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb2ed4c99ed7bc4e88ba88ba9b",55,930906,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a46cdd6a56.png","ran.png"
"61","Kunto Aji","['indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb91353fe387f993bb99a9d7ec",55,909534,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4532f74e.png","kunto_aji.png"
"62","Jaz","['bruneian pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb3169c72ce5e31dbc3743ade7",55,909496,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a427a03688.png","jaz.png"
"63","Sammy Simorangkir","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb016288add2edec88ecd87e83",54,890310,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a48666c78.png","sammy_simorangkir.png"
"64","Letto","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eba72d9867fae5d76011bb2204",56,863606,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a472ef4877.png","letto.png"
"65","Virzha","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb682ff15adc86a5950c2ba597",54,846421,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a44a48460e.png","virzha.png"
"66","Vierra","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebce05aec92bc5b3e81205ff73",65,836442,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a475be4997.png","vierra.png"
"67","Tompi","['indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb5e06bda4c6919a807ad573c7",48,809041,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a41816ad6.png","tompi.png"
"68","Efek Rumah Kaca","['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock']","https://i.scdn.co/image/ab6761610000e5ebb345ac625dd036d8a8d085cd",49,773934,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4394a3580.png","efek_rumah_kaca.png"
